"id (N)","action (S)","after (M)","before (M)","personid (N)","table (S)","timestamp (S)"
"124","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-22T17:45:22.671Z"
"127","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-22T17:47:43.451Z"
"128","post","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/15/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/14/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","41","course","2020-07-22T17:48:24.584Z"
"130","post","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : ""07/22/2020"" },  ""grade"" : { ""N"" : ""4"" },  ""id"" : { ""N"" : ""82"" },  ""studentid"" : { ""N"" : ""13"" }}","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""82"" },  ""studentid"" : { ""N"" : ""13"" }}","27","assignmentstudent","2020-07-22T17:49:18.559Z"
"131","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-22T17:49:33.890Z"
"132","post","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-22T17:49:57.537Z"
"135","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-22T17:59:59.326Z"
"138","delete","{}","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : ""07/22/2020"" },  ""grade"" : { ""N"" : ""4"" },  ""id"" : { ""N"" : ""82"" },  ""studentid"" : { ""N"" : ""13"" }}","41","assignmentstudent","2020-07-22T18:01:33.028Z"
"139","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-22T18:01:48.418Z"
"142","post","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/17/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/16/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","41","course","2020-07-22T18:03:53.403Z"
"145","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-22T18:05:09.145Z"
"151","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T01:00:08.685Z"
"152","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T02:51:27.400Z"
"153","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T18:12:07.900Z"
"154","delete","{}","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""79"" },  ""studentid"" : { ""N"" : ""13"" }}","41","assignmentstudent","2020-07-23T18:12:30.298Z"
"155","delete","{}","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/22/2020"" },  ""dategraded"" : { ""S"" : ""07/22/2020"" },  ""grade"" : { ""N"" : ""4"" },  ""id"" : { ""N"" : ""78"" },  ""studentid"" : { ""N"" : ""13"" }}","41","assignmentstudent","2020-07-23T18:13:56.657Z"
"156","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-23T18:14:26.077Z"
"160","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T19:16:49.470Z"
"161","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-23T19:17:14.747Z"
"162","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T19:21:05.717Z"
"163","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T19:24:47.430Z"
"164","post","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/18/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/17/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","41","course","2020-07-23T19:25:40.171Z"
"165","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T19:26:08.474Z"
"166","post","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : ""07/23/2020"" },  ""grade"" : { ""N"" : ""4"" },  ""id"" : { ""N"" : ""78"" },  ""studentid"" : { ""N"" : ""13"" }}","{  ""answer"" : { ""S"" : ""Someone who can debug."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""78"" },  ""studentid"" : { ""N"" : ""13"" }}","27","assignmentstudent","2020-07-23T19:26:44.091Z"
"169","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T19:30:34.072Z"
"170","delete","{}","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""79"" },  ""studentid"" : { ""N"" : ""13"" }}","41","assignmentstudent","2020-07-23T19:30:51.207Z"
"172","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-23T19:31:24.192Z"
"173","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T19:32:06.155Z"
"178","post","{  ""answer"" : { ""S"" : ""Someone who can code."" },  ""assignmentid"" : { ""N"" : ""17"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""18"" }}","{}","18","assignmentstudent","2020-07-23T19:34:41.992Z"
"181","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T19:43:33.551Z"
"183","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-23T19:44:29.013Z"
"184","post","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T19:44:57.341Z"
"185","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T19:52:07.533Z"
"187","post","{  ""answer"" : { ""S"" : ""1.00000000001"" },  ""assignmentid"" : { ""N"" : ""42"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T19:55:32.293Z"
"190","post","{  ""answer"" : { ""S"" : ""Because they didn't have enough cache!"" },  ""assignmentid"" : { ""N"" : ""28"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T20:02:35.244Z"
"191","post","{  ""answer"" : { ""S"" : ""You will be stuck writing Al Gore Rhythms."" },  ""assignmentid"" : { ""N"" : ""27"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T20:04:16.754Z"
"194","post","{  ""answer"" : { ""S"" : ""Because charmander would had evolved into stringmander."" },  ""assignmentid"" : { ""N"" : ""25"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T20:08:04.797Z"
"195","post","{  ""answer"" : { ""S"" : ""A piece of chocolate cake without ketchup and mustard."" },  ""assignmentid"" : { ""N"" : ""30"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T20:10:01.526Z"
"197","delete","{}","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""78"" },  ""studentid"" : { ""N"" : ""13"" }}","41","assignmentstudent","2020-07-23T20:11:38.480Z"
"198","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-23T20:16:04.363Z"
"199","post","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/22/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","{  ""description"" : { ""S"" : ""Introduction to Java"" },  ""enddate"" : { ""S"" : ""12/21/2020"" },  ""id"" : { ""N"" : ""10"" },  ""passgrade"" : { ""N"" : ""3.1"" },  ""startdate"" : { ""S"" : ""07/09/2020"" },  ""teacherid"" : { ""N"" : ""14"" },  ""title"" : { ""S"" : ""Java"" }}","41","course","2020-07-23T20:16:50.047Z"
"200","login","{  ""email"" : { ""S"" : ""alan@awschool.edu"" },  ""id"" : { ""N"" : ""27"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""4c8290c2ec32696879771c20455d796bff8e820d6957d015277b2ac8a9f855cb"" },  ""personname"" : { ""S"" : ""Alan Turing"" }}","{}","27","person","2020-07-23T20:17:13.526Z"
"201","post","{  ""answer"" : { ""S"" : ""Because they are all pro-grammers."" },  ""assignmentid"" : { ""N"" : ""26"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : ""07/23/2020"" },  ""grade"" : { ""N"" : ""3.8"" },  ""id"" : { ""N"" : ""82"" },  ""studentid"" : { ""N"" : ""13"" }}","{  ""answer"" : { ""S"" : ""Because they are all pro-grammers."" },  ""assignmentid"" : { ""N"" : ""26"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""82"" },  ""studentid"" : { ""N"" : ""13"" }}","27","assignmentstudent","2020-07-23T20:17:48.107Z"
"202","login","{  ""email"" : { ""S"" : ""alans@awschool.edu"" },  ""id"" : { ""N"" : ""13"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : true },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""03415f3c8ebce76336b356fa6f35a8ce2c14cc25818525202eda262fb43e05c8"" },  ""personname"" : { ""S"" : ""Alan Smith"" }}","{}","13","person","2020-07-23T20:18:05.051Z"
"203","post","{  ""answer"" : { ""S"" : ""5280"" },  ""assignmentid"" : { ""N"" : ""14"" },  ""dateanswered"" : { ""S"" : ""07/23/2020"" },  ""dategraded"" : { ""S"" : """" },  ""grade"" : { ""N"" : ""0"" },  ""id"" : { ""N"" : ""0"" },  ""studentid"" : { ""N"" : ""13"" }}","{}","13","assignmentstudent","2020-07-23T20:18:28.023Z"
"205","login","{  ""email"" : { ""S"" : ""megan@awschool.edu"" },  ""id"" : { ""N"" : ""41"" },  ""isadmin"" : { ""BOOL"" : true },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : false },  ""password"" : { ""S"" : ""4f8dc6ad3280b84fe6a857ce99f05ab4429919d2ea7a19f7024e4cae9a9e1861"" },  ""personname"" : { ""S"" : ""Megan Smith"" }}","{}","41","person","2020-07-24T14:49:44.939Z"
"206","post","{  ""email"" : { ""S"" : ""kenneth@awschool.edu"" },  ""id"" : { ""N"" : ""37"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""b89ce2bf1177e69a9d1efed6087a0fec58ede0fd164f42fc9e08abc7b6f3b699"" },  ""personname"" : { ""S"" : ""Kenneth Thompson"" }}","{  ""email"" : { ""S"" : ""kenn@awschool.edu"" },  ""id"" : { ""N"" : ""37"" },  ""isadmin"" : { ""BOOL"" : false },  ""isstudent"" : { ""BOOL"" : false },  ""isteacher"" : { ""BOOL"" : true },  ""password"" : { ""S"" : ""3cf11644189fc85c38900cdfb84f16b915f6f15435e74a9a259b12d722685bc8"" },  ""personname"" : { ""S"" : ""Kenneth Thompson"" }}","41","person","2020-07-24T14:51:32.019Z"
